% Model:              Contactor_heat.mph
% Version:            COMSOL 5.4.0.225
% Date:               May 29 2019, 14:06
% Dimension:          2
% Nodes:              6988
% Expressions:        1
% Description:        温度
% Length unit:        m
% R                       Z                        T (K)
3.153064140669177E-4      -0.02492775274462617     370.9093518720431
0                         -0.024797537541389594    371.6716650683038
0                         -0.025246921926737       369.0452901986427
4.905660377361461E-4      -0.025246921926736998    369.04362493740587
3.54849868308301E-4       -0.02456110244961605     373.0548743646645
0                         -0.02434815315604219     374.3037594975897
7.38331741240885E-4       -0.024840776923699667    371.41483777702564
9.811320754719893E-4      -0.025246921926736998    369.03859897875486
3.535304006193641E-4      -0.024127481563622176    375.59747825072424
0                         -0.023898768770694787    376.9416115903962
0.0012542768948205904     -0.02486303897048769     371.27726661335464
0.0014716981132078324     -0.025246921926736998    369.0301366146726
0.0017340879567455886     -0.024871377533578903    371.2181050000041
0.0019622641509436755     -0.025246921926736998    369.01811787620426
3.579049499838733E-4      -0.02369266628652287     378.1524358366021
0                         -0.023449384385347383    379.5851394588487
3.204833557381833E-4      -0.023323834804657675    380.32399485503885
0                         -0.023                   382.234128209424
0.002219465436071664      -0.024874248765864374    371.18717036309175
0.0024528301886795187     -0.025246921926736998    369.002387633278
0.0027061688844309765     -0.024875528601003904    371.1616661604744
0.0029433962264153618     -0.025246921926736998    368.982774149091
4.957446808510641E-4      -0.022999999999999996    382.23257011278093
0.0031947335539296057     -0.024876176642930865    371.13573947342735
0.003433962264151205      -0.025246921926736998    368.9591137030493
7.474391375388344E-4      -0.023415804521318966    379.7791092844409
9.914893617021282E-4      -0.022999999999999996    382.22784932416727
0.0036845373160815163     -0.024876585796099453    371.1069196991912
0.0039245283018870475     -0.025246921926736998    368.93128433954394
0.0012647499293247269     -0.023392179776808953    379.9111331740532
0.0014872340425531923     -0.022999999999999996    382.21982832233726
0.004175094187980608      -0.02487686710323124     371.07445583837244
0.004415094339622891      -0.025246921926736998    368.89924620174617
0.0017490252590800469     -0.02338522818950799     379.94187548304757
0.0019829787234042565     -0.022999999999999996    382.2082646049251
0.0046661497662175274     -0.024877116960372928    371.03778903039205
0.004905660377358734      -0.025246921926736998    368.86308220346126
0.0022350211840168497     -0.023381009264025962    379.95279429431093
0.00247872340425532       -0.022999999999999996    382.19280117243096
0.0027244354676526058     -0.02337990077070151     379.94119649223563
0.0029744680851063843     -0.022999999999999996    382.17294659041994
0.00515744199060957       -0.024877255250480016    370.9975510007009
0.005396226415094577      -0.025246921926736998    368.8230276985635
0.0032164120613266687     -0.023379479895103146    379.9208642464973
0.003470212765957448      -0.022999999999999996    382.1480577172377
0.003709800137603577      -0.023379397801343998    379.8933122409754
0.003965957446808512      -0.022999999999999996    382.1173376009485
0.005648886591329997      -0.024877312162904192    370.9538961504198
0.00588679245283042       -0.025246921926736998    368.77947539417664
0.004203146392503272      -0.0233805894201201      379.85250818050787
0.004461702127659576      -0.022999999999999996    382.07988572821523
0.006140438912513327      -0.024877326199023806    370.9070938124055
0.0063773584905662635     -0.025246921926736998    368.73294628362163
0.0066321886733237195     -0.024877480665150362    370.85667180991885
0.006867924528302106      -0.025246921926736998    368.6840296523371
0.004698064885769343      -0.023380280977893415    379.81416192267176
0.00495744680851064       -0.022999999999999993    382.0348764634235
0.007124005600943781      -0.0248775667797155      370.8044981809422
0.00735849056603795       -0.025246921926736998    368.63330933387505
0.0076158530436536975     -0.024877402137822063    370.75222771995135
0.007849056603773793      -0.025246921926736998    368.58129913109747
0.005193295460511869      -0.023379765891058158    379.7704646150118
0.0054531914893617035     -0.023                   381.9819593488307
0.008107676140252155      -0.024877101833902255    370.69968038768985
0.008339622641509635      -0.025246921926736998    368.52840361978156
0.008599420356058351      -0.024876866423397186    370.64605220781567
0.008830188679245479      -0.025246921926736998    368.47490724332897
0.009091130186517995      -0.024876673355652898    370.59169881327495
0.009320754716981322      -0.025246921926736998    368.42098420982694
0.009582722538826858      -0.024876633944751907    370.536108093809
0.009811320754717166      -0.025246921926736998    368.3667184859402
0.0056884446472742906     -0.0233795095468918      379.7190075790273
0.005948936170212767      -0.022999999999999996    381.9218250089319
0.010074427471321685      -0.024876398043776966    370.4813237248581
0.010301886792453007      -0.025246921926736998    368.31212532359524
0.010565841618745093      -0.024876826608166917    370.4223910785627
0.010792452830188851      -0.025246921926736998    368.2571694689106
0.011057835624370155      -0.02487617890053002     370.3692177506153
0.011283018867924694      -0.025246921926736998    368.20177819593044
0.011549767817351843      -0.024875940642876987    370.31318856055236
0.011773584905660538      -0.025246921926736998    368.1458489222241
0.006183432211737567      -0.023379540169793437    379.66067434097835
0.00644468085106383       -0.022999999999999996    381.85644249742717
0.012041654450289069      -0.02487585777134564     370.25565143523545
0.01226415094339638       -0.025246921926736998    368.0892517084199
