% Model:              Contactor_heat.mph
% Version:            COMSOL 5.4.0.225
% Date:               May 29 2019, 15:43
% Dimension:          3
% Nodes:              15076
% Expressions:        1
% Description:        温度
% Length unit:        m
% X                       Y                        Z                        T2 (K)
-0.01753070615903097      -0.006572838284091787    -0.022999999999999996    379.9917493459371
-0.016482248420286463     -0.008600889437989569    -0.023                   380.0120535569318
-0.017021638910502124     -0.0074947641546547275   -0.025246921926736998    366.99550159831864
-0.015230287613062037     -0.006523193459822155    -0.023                   380.32553642420993
-0.012337336124587145     -0.01298459516198706     -0.022999999999999996    380.1196369194284
-0.013087360441829924     -0.015745914373359083    -0.023000000000000003    379.7273227574956
-0.012477713330824605     -0.014241893662930705    -0.025246921926737005    366.8770402152537
-0.010384605564242713     -0.014885539649921873    -0.023000000000000003    380.08208545881183
-0.010549434299353226     -0.017680710900810092    -0.023                   379.71090201142357
-0.010339811552137817     -0.01678954480873838     -0.025246921926737       366.6254117411339
-0.013580420256362462     -0.017729292042026293    -0.025246921926737005    363.74624441573854
-0.016700813091136454     -0.014773892753555054    -0.025246921926737005    363.7378742006082
-0.01988411204154784      -0.005202578042430851    -0.023                   379.71516001458133
-0.021494153410128447     -0.006551324876799659    -0.025246921926736998    363.47395387338963
-0.019046492463402388     -0.00330729078868507     -0.025246921926736998    366.75756322656457
-0.014558967243874376     -0.010827124606270343    -0.022999999999999996    380.08290252343
-0.01479664537380319      -0.011463844509096563    -0.025246921926736998    366.9467697817017
-0.015615259301817615     -0.013386487328267731    -0.022999999999999996    379.71382949312186
-0.019193175028800823     -0.008117486464585537    -0.023000000000000003    379.67823029508656
-0.019205304110908844     -0.010726245229984593    -0.025246921926737005    364.48997279431006
-0.01767909477506549      -0.01078200497784648     -0.022999999999999996    379.6947946353244
-0.018847175129931282     -0.013699412777169259    -0.023                   379.41259145301325
-0.021618198622959314     -0.014444810235481059    -0.025246921926737005    348.7850970487674
-0.016973798114517102     -0.004282011740021781    -0.023                   380.1829084191928
-0.018352698602593146     -0.0023908623662465137   -0.023000000000000003    380.025496806837
-0.020753000512984517     -0.010592579886352597    -0.023000000000000003    379.4140353013527
-0.022152876994697722     -0.007220788152479734    -0.023                   379.41866757171925
-0.024020832727890584     -0.009949749500129333    -0.025246921926737       348.61391873833566
-0.020724374378592095     -0.0023237210739329374   -0.023000000000000003    379.67616132562665
-0.020036830434817656     2.4538040257057713E-18   -0.023                   379.7897351164808
-0.023013408082490742     -0.0036432029550480267   -0.023000000000000003    379.41296531570157
-0.02244669815682342      -0.0031486883207087323   -0.025246921926737005    362.91423510815804
-0.025500389379786256     -0.005072339339203525    -0.025246921926737005    348.80619221309416
-0.021259424348277805     2.603528597983372E-18    -0.025246921926736998    365.43417668104536
-0.007957761788313509     -0.016513949512447595    -0.023000000000000003    380.05398366612997
-0.005496453252486617     -0.017830057665438562    -0.022999999999999996    380.00202732924475
-0.006990394970840971     -0.017979853719761834    -0.025246921926736995    366.7570564294811
-0.005945673908499131     -0.015441303795096261    -0.023000000000000003    380.3290630483149
-0.01174628044200218      -0.010250214070596144    -0.023                   380.47020204402816
-0.013527718018617952     -0.008526487290916002    -0.023                   380.41153308756384
-0.010095641269146118     -0.012375985571091553    -0.023000000000000003    380.414388636537
-0.008265921120393193     -0.014029970389734858    -0.025246921926736998    367.45360169512327
-0.007799689382495815     -0.014107687582466753    -0.023                   380.3924907638238
-0.005781835858812737     -0.013598666928675042    -0.023                   380.58702856107135
-0.011662453669247872     -0.01148670432561707     -0.025246921926737       367.4407668235945
-0.015793231975931018     -0.0021889907370935273   -0.022999999999999996    380.4184252906903
-0.017344852853337867     2.124131852852206E-18    -0.022999999999999996    380.2069411502491
-0.014755205632680487     1.806991534882316E-18    -0.023                   380.58996498067995
-0.0170417554898685       2.0870131312519292E-18   -0.025246921926736998    367.3202662895546
-0.015641014277256636     0.002086773819516595     -0.023                   380.44255536037593
-0.012696365972431171     -0.008004046628775236    -0.02524692192673701     367.6307915462284
-0.013232663875897471     -0.006213999502833619    -0.022999999999999996    380.60925460589
-0.014134735541669493     -0.004397239600941243    -0.022999999999999996    380.58320483381755
-0.013127132578920541     -0.0022710266224278018   -0.023                   380.7890567330606
-0.01487139413139613      -0.0038530471204294664   -0.025246921926736998    367.5824096274103
-0.009564164407417293     -0.010237202477880954    -0.022999999999999996    380.694504333911
-0.00744119405747667      -0.011460300331438411    -0.023000000000000003    380.74225395046466
-0.0036272633282104227    -0.01557156298305444     -0.025246921926737       367.4986220208165
-0.004139512091587862     -0.016239587312197424    -0.023000000000000007    380.29700272083386
-0.016473733712247658     -0.016477442081899538    -0.023000000000000003    379.4244870789947
-0.018384783384872448     -0.018384769236825305    -0.025246921926736998    349.0222537652717
-0.007807688092484421     -0.019192657027522993    -0.023000000000000007    379.69361435055004
-0.013695174670127614     -0.01885025505185524     -0.022999999999999996    379.41288299901345
-0.01058792852380459      -0.020755374110201022    -0.023                   379.4206948386026
-0.01046683784092211      -0.020006353459541146    -0.025246921926736998    363.1336603022397
-0.01444482687218486      -0.021618187507496302    -0.025246921926737005    348.7725021549358
-0.004979008001081258     -0.020233828251173074    -0.023000000000000007    379.67827898532283
-0.0065534740223345996    -0.021441303335512005    -0.025246921926736998    363.61596160766186
-0.003140572814443623     -0.019333760599794827    -0.025246921926737       366.6472926938707
-0.002752373050412673     -0.018519189307949102    -0.023000000000000003    379.9914798810145
-0.022722271153327016     -0.012637182978602576    -0.020843745039742737    362.12985632434635
-0.020043395035310507     -0.016560866989940172    -0.020877216229961044    362.00303337533256
-3.1305196968776506E-18   -0.017041755489867173    -0.025246921926736995    367.32052989416013
-0.019856438671808276     -0.012190645728291715    -0.019781011196984007    379.4490477796457
-0.017698471953383237     -0.015154342299001533    -0.01978241919061094     379.44915587580596
-0.015130950926468722     -0.017718474089514467    -0.019870373225317713    379.4515415197015
-0.021561622228406276     -0.008830993538639711    -0.019760607078199606    379.44802142411356
-0.020728449902726938     -0.010640552834798556    -0.016605989387557505    379.3904862713098
-0.023471415678862167     -0.011184482376492142    -0.017123913896777754    363.7214295826021
-0.022299432362891426     -0.0067546514560583104   -0.016013888397883275    379.38924914798974
-0.024802742973332827     -0.007798970508906216    -0.02052771229375144     362.46260492909823
-0.02267887945767627      -0.0053440084715679105   -0.020098036984257658    379.4592764593045
-0.014278755085902735     0.0040729695517041165    -0.023                   380.57680726748373
-0.015012246894933835     0.003554987636595668     -0.025246921926737       367.5755088534131
-0.01319331368513197      0.0020856781646526185    -0.023                   380.7842690290808
-0.01626597516950885      0.004216861128117256     -0.023                   380.29017537356447
-0.015496798294959136     0.0059999830894673705    -0.023                   380.31823657561836
-0.013506178411264938     0.005780916157966229     -0.023                   380.59902042313485
-0.018509973110578667     0.002742880441434328     -0.023000000000000003    379.99301734786604
-0.019188258669789512     0.0031134893560645525    -0.025246921926736998    366.7105716153798
-0.01785247975955109      0.005455773513413114     -0.023                   380.000814990143
-0.023167011001112448     -0.0024858803821453303   -0.020529812939088954    379.47096927934996
-0.025781516103236757     -0.0033635438778977502   -0.021418006022446055    361.35791360268735
-0.02088990193819415      0.002427082181606258     -0.023000000000000003    379.653902639253
-0.0233                   2.8534270420133333E-18   -0.023                   379.4226240911832
-0.026000000000000002     3.1840816777831186E-18   -0.025246921926737       348.8655493108909
-0.022595344728978468     0.002926430453037339     -0.025246921926736998    362.5657733402422
-0.012868808097156634     0.007373899167857372     -0.025246921926736998    367.65236119581544
-0.013883876761538448     0.007849801178733648     -0.023                   380.4176042792072
-0.003997965083901856     -0.014324545645198986    -0.022999999999999996    380.57354860293833
-0.011104150474679969     0.0072022320024280355    -0.022999999999999996    380.8008441511768
-0.01173177627360232      0.004186900493437925     -0.022999999999999996    380.905989967519
-0.01052896538252677      -0.007455575847593026    -0.022999999999999996    380.84618110481387
-0.011588157729185145     -0.00447682038108555     -0.023                   380.91054915058027
-0.004445864353136511     -0.011811122794894892    -0.023                   380.8841958398621
-0.003623063301198958     -0.011551266048444375    -0.025246921926737       367.98500063081815
-0.002115200461312606     -0.013157264096629357    -0.023                   380.78861374795537
-0.008435646149356851     -0.009857681430258043    -0.025246921926737       367.8839518408052
-0.009549514127268427     -0.006862242788037191    -0.025246921926737       368.02522409347415
-0.012924935467484085     1.5828480849440485E-18   -0.025246921926737005    367.8897673729106
-0.012155375168811895     1.4886041292920707E-18   -0.023000000000000003    380.9462896752782
-0.010660091954637296     -0.0022384785138023977   -0.023                   381.11342641099105
-0.010683041076858125     -0.0037647079771495587   -0.025246921926737       368.0737986276387
-0.010394767971837157     0.003824593833989857     -0.025246921926737005    368.10230527988364
-0.009439427814545789     0.0071420385826001884    -0.025246921926737       368.0163069853775
-0.009969602257962921     0.009755708948027547     -0.025246921926737       367.7676967794911
-0.007416372433061811     -0.008810725729926354    -0.023000000000000003    381.0312636636742
-0.004992538386037912     -0.009566092613114452    -0.022999999999999996    381.12698045148716
-0.002367754954786945     -0.010512605796310647    -0.023000000000000003    381.12887097590016
-2.374272127416344E-18    -0.012924935467485564    -0.025246921926737       367.8895075247972
-2.232915622809818E-18    -0.012155426497198812    -0.022999999999999996    380.9463559613541
-3.186202439033024E-18    -0.017344878219861058    -0.023000000000000003    380.2070386948031
-0.002046093973617958     -0.015613796029428691    -0.023                   380.44739134283833
-2.7104942850661927E-18   -0.01475524364496138     -0.022999999999999996    380.5900695904343
0.0023351735915442583     -0.015771758529713055    -0.023000000000000003    380.4186109392511
-0.012335654770084525     -0.019766679574306133    -0.01990010484211831     379.4525761102346
-0.016489467988729904     -0.020102175142224087    -0.02077255474272244     362.16428746088366
-0.0072167074182006895    -0.022154206817140944    -0.022999999999999996    379.41630788165736
-0.01202039567913834      -0.02305450254759257     -0.02095809715365004     362.01911595535324
-0.009239005654057652     -0.021389969016440653    -0.019892168483002435    379.45181905544706
-0.009949767985556144     -0.02402082507130299     -0.025246921926736998    348.74283249911974
0.0023441551358090638     -0.01855142813706959     -0.023000000000000007    379.99534678694204
-3.6807088346092355E-18   -0.020036845655808065    -0.023                   379.7898447137233
-0.002456417801834713     -0.02088299322620493     -0.023                   379.654411492852
-0.0036418342858671095    -0.023013144182236718    -0.022999999999999996    379.4158525813497
-0.0028987716737347204    -0.022626770633681827    -0.025246921926736998    362.4831145668973
-0.005072291683392323     -0.025499987042441045    -0.025246921926736995    349.001308955665
-3.905292896974928E-18    -0.021259424348277104    -0.025246921926736998    365.4363875468075
-0.0215363837874275       -0.014566542944728849    -0.016676497362157816    363.7501786025699
-0.018189254338675902     -0.01857824067566571     -0.016384797119433043    363.7782020590358
-0.01645092842074002      -0.016500210728826722    -0.016597087607794       379.3903697806
0.003625059591655548      -0.01473648062209651     -0.025246921926737       367.6086492129243
0.0033248403367867607     -0.0189103944928         -0.025246921926737       366.7996052590955
0.004478581792479415      -0.01678808375521964     -0.023                   380.2032130367507
-0.018823967323745458     -0.013731287419414236    -0.016564345271024784    379.39032636707867
-0.013671937613232816     -0.018867117477237214    -0.01665675527834478     379.3907887053925
-0.017704714229765363     -0.015147049020926291    -0.013450560244393834    379.42256712120036
-0.019787079620199603     -0.012302905352146776    -0.013222426016549096    379.4285516310888
-0.010472585425844913     0.002111681462615652     -0.023000000000000003    381.14099788752736
-0.021304214259135604     -0.009435065172050647    -0.013507666796484012    379.4211839862991
-0.023136471688930974     -0.011861858108546713    -0.013128260483274694    363.91882183906495
-0.020936644794725817     -0.01022481807855183     -0.00993767968761634     379.57003233374655
-0.02482267361503365      -0.007735300550173364    -0.015180546535910663    363.8301369311568
-0.022315083848897473     -0.006702763073291137    -0.011769714416757964    379.47852563930013
-0.023065380453537294     -0.003298215355852256    -0.013753747939750685    379.4154899769566
-0.025739257415697516     -0.0036729589826813972   -0.017637645729302053    363.6543434073429
-0.02311435581833238      -0.0029353969243569216   -0.017580740507662642    379.399969531938
-0.023299999999999998     2.8534270420133333E-18   -0.019317378452094313    379.43477922078455
-0.017183742681415887     0.006736528166033098     -0.025246921926736998    367.0335498024913
-0.016529153456909404     0.0077315876692549785    -0.022999999999999996    380.06660992468693
-0.020231078703445992     0.0049405895018551065    -0.023                   379.6796558914638
-0.019209831242525996     0.007708795446971951     -0.023000000000000003    379.69665542811083
-0.02143677475334765      0.006409333283339513     -0.025246921926737       363.7414266707229
-0.025999999999999992     3.1840816777831175E-18   -0.02030039392411731     362.56094467644374
-0.02318932510146577      0.0022683036257365075    -0.020451936894566404    379.4689511513179
-0.023153158020816085     0.0026117568154634683    -0.017428472566438844    379.39782375515773
-0.023013144182236735     0.003641834285866993     -0.022999999999999996    379.4158486647949
-0.02570920831679852      0.003877706503006347     -0.02195567233375121     360.41712830516866
-0.025499987042441052     0.005072291683392326     -0.025246921926736998    349.0171328799846
-0.015492555018557298     0.010390206030610952     -0.025246921926737       366.9607084539804
-0.014846249142540697     0.010174642674471372     -0.023                   380.10596484184595
-0.012490344874458987     0.010744575080701712     -0.025246921926737005    367.42458513695743
-0.013666575896655717     0.013541524401743865     -0.02524692192673701     366.7823512634137
-0.010900363338010014     0.012269150109818466     -0.025246921926737       367.4337224073642
-0.012949293618243792     0.012802610008564107     -0.023000000000000003    380.0724345638829
-0.01207330724453707      0.010089795156280428     -0.023000000000000003    380.44903620952226
-0.010661183742697075     0.012470053829323802     -0.022999999999999996    380.34975156972655
-0.009022491234937665     0.009664555572420833     -0.022999999999999996    380.80261235880573
-0.006799700549960793     0.008982224094091135     -0.025246921926737005    368.0809433019534
-0.0076529039006990145    0.012569188615201643     -0.025246921926737       367.66789178809245
-0.008194492026907526     0.012438215510465403     -0.023                   380.5699871029755
-0.009281163939991581     0.014046049858609229     -0.023000000000000003    380.2851648364574
-0.00781231441759103      0.014213278035479048     -0.022999999999999996    380.37771494050054
-0.0070298995879913015    0.01415769716464353      -0.02372976951466672     376.23032596904255
-0.00643794290645983      0.011124860464204384     -0.023000000000000003    380.85254611116454
-0.015162507025959551     -0.017691477628726426    -0.013571583937146995    379.41962536490195
-0.008296567726406892     0.006840240167399016     -0.023                   381.1318678472186
-0.00933284479101177      0.004504506630283217     -0.023                   381.1830984009884
-0.007307390570345247     -0.0064852147665275086   -0.022999999999999993    381.26147389985175
-1.7441079805095934E-18   -0.009494481629173454    -0.023000000000000003    381.29790455552353
-0.002500626605781291     -0.008343340526703321    -0.023                   381.40263064971447
-1.616208909147273E-18    -0.008798231513350302    -0.025246921926736998    368.35445421428966
-0.008729123155154504     -0.004356963599862375    -0.022999999999999996    381.2632646679225
-0.00857168663448512      -0.0017592728483959699   -0.023000000000000003    381.3969422797236
-0.003613917699805275     -0.00797960345779892     -0.02524692192673701     368.3579996812186
-0.005086393995174012     -0.007415570987960179    -0.023                   381.36483049355456
-0.006770581250558806     -0.005831759698491686    -0.025246921926737       368.3392703149524
