% Model:              Contactor_heat.mph
% Version:            COMSOL 5.4.0.225
% Date:               May 14 2019, 21:07
% Dimension:          3
% Nodes:              15076
% Expressions:        1
% Description:        温度
% Length unit:        m
% X                       Y                        Z                        T2 (K)
-0.01753070615903097      -0.006572838284091787    -0.022999999999999996    379.994339263089
-0.016482248420286463     -0.008600889437989569    -0.023                   380.01478122270214
-0.017021638910502124     -0.0074947641546547275   -0.025246921926736998    366.99781488110335
-0.015230287613062037     -0.006523193459822155    -0.023                   380.3303972498607
-0.012337336124587145     -0.01298459516198706     -0.022999999999999996    380.12310075710394
-0.013087360441829924     -0.015745914373359083    -0.023000000000000003    379.7281353607265
-0.012477713330824605     -0.014241893662930705    -0.025246921926737005    366.8790881062005
-0.010384605564242713     -0.014885539649921873    -0.023000000000000003    380.08529167572664
-0.010549434299353226     -0.017680710900810092    -0.023                   379.71161190256544
-0.010339811552137817     -0.01678954480873838     -0.025246921926737       366.62686971467576
-0.013580420256362462     -0.017729292042026293    -0.025246921926737005    363.7462812893854
-0.016700813091136454     -0.014773892753555054    -0.025246921926737005    363.73792220748413
-0.01988411204154784      -0.005202578042430851    -0.023                   379.7159030466354
-0.021494153410128447     -0.006551324876799659    -0.025246921926736998    363.4739464264736
-0.019046492463402388     -0.00330729078868507     -0.025246921926736998    366.7593046488307
-0.014558967243874376     -0.010827124606270343    -0.022999999999999996    380.08611680020834
-0.01479664537380319      -0.011463844509096563    -0.025246921926736998    366.9489916094099
-0.015615259301817615     -0.013386487328267731    -0.022999999999999996    379.71455573434326
-0.019193175028800823     -0.008117486464585537    -0.023000000000000003    379.6787385328208
-0.019205304110908844     -0.010726245229984593    -0.025246921926737005    364.49012833234343
-0.01767909477506549      -0.01078200497784648     -0.022999999999999996    379.6954081717299
-0.018847175129931282     -0.013699412777169259    -0.023                   379.4120729907126
-0.021618198622959314     -0.014444810235481059    -0.025246921926737005    348.7846773618763
-0.016973798114517102     -0.004282011740021781    -0.023                   380.1868067015522
-0.018352698602593146     -0.0023908623662465137   -0.023000000000000003    380.0283170879143
-0.020753000512984517     -0.010592579886352597    -0.023000000000000003    379.41350524779875
-0.022152876994697722     -0.007220788152479734    -0.023                   379.41814773677703
-0.024020832727890584     -0.009949749500129333    -0.025246921926737       348.6134998145098
-0.020724374378592095     -0.0023237210739329374   -0.023000000000000003    379.6766549451473
-0.020036830434817656     2.4538040257057713E-18   -0.023                   379.7909643089109
-0.023013408082490742     -0.0036432029550480267   -0.023000000000000003    379.4124399953597
-0.02244669815682342      -0.0031486883207087323   -0.025246921926737005    362.9141751474331
-0.025500389379786256     -0.005072339339203525    -0.025246921926737005    348.80577099784796
-0.021259424348277805     2.603528597983372E-18    -0.025246921926736998    365.43465390760645
-0.007957761788313509     -0.016513949512447595    -0.023000000000000003    380.0569968531532
-0.005496453252486617     -0.017830057665438562    -0.022999999999999996    380.00468257006617
-0.006990394970840971     -0.017979853719761834    -0.025246921926736995    366.75882728527915
-0.005945673908499131     -0.015441303795096261    -0.023000000000000003    380.3339441021272
-0.01174628044200218      -0.010250214070596144    -0.023                   380.4760220628428
-0.013527718018617952     -0.008526487290916002    -0.023                   380.4169667349252
-0.010095641269146118     -0.012375985571091553    -0.023000000000000003    380.4198398608682
-0.008265921120393193     -0.014029970389734858    -0.025246921926736998    367.457809442589
-0.007799689382495815     -0.014107687582466753    -0.023                   380.39779555158975
-0.005781835858812737     -0.013598666928675042    -0.023                   380.5936053619805
-0.011662453669247872     -0.01148670432561707     -0.025246921926737       367.4449052303775
-0.015793231975931018     -0.0021889907370935273   -0.022999999999999996    380.4239047376282
-0.017344852853337867     2.124131852852206E-18    -0.022999999999999996    380.2109996551291
-0.014755205632680487     1.806991534882316E-18    -0.023                   380.5965628347736
-0.0170417554898685       2.0870131312519292E-18   -0.025246921926736998    367.32385676670333
-0.015641014277256636     0.002086773819516595     -0.023                   380.44819265613563
-0.012696365972431171     -0.008004046628775236    -0.02524692192673701     367.63601535511856
-0.013232663875897471     -0.006213999502833619    -0.022999999999999996    380.6159764816839
-0.014134735541669493     -0.004397239600941243    -0.022999999999999996    380.5897596932586
-0.013127132578920541     -0.0022710266224278018   -0.023                   380.79690766603835
