% Model:              Contactor_heat.mph
% Version:            COMSOL 5.4.0.225
% Date:               May 27 2019, 14:52
% Dimension:          2
% Nodes:              751
% Expressions:        1
% Description:        温度
% Length unit:        m
% R                       Z                        T (K)
0.0012084379060415306     -0.02411806906818086     375.554923034632
0                         -0.023                   382.1389114711111
0                         -0.025246921926737       368.9640456819262
0.002404060974253029      -0.022999999999999996    382.10019012294083
0.0024297653804070275     -0.025246921926736998    368.92283956367476
0.005076366912020051      -0.023                   381.93036317777756
0.0053091873659134444     -0.025246921926736998    368.75030370944637
0.007810795306988209      -0.023                   381.5760885418608
0.008250802783381181      -0.025246921926736998    368.4594588089902
0.010545601504500374      -0.022999999999999996    381.21027014977216
0.011194934392106825      -0.025246921926736998    368.1323410466745
0.013141971058861416      -0.022999999999999996    380.86286288403255
0.014628571999401489      -0.023879712865838336    375.58119331031406
0.015289150715739556      -0.022999999999999996    380.5611313074375
0.015942820445117002      -0.02404169769615812     374.45606609145625
0.01702698240694755       -0.022999999999999993    380.3019413575646
0.014139066000832468      -0.025246921926736998    367.7828600435537
0.01743982258970167       -0.02378017166403525     375.715637738204
0.018509001563200476      -0.022999999999999996    380.06976122011366
0.017083197609558114      -0.025246921926736998    367.3489473914314
0.01898931004525445       -0.023926565338593733    374.5143895837821
0.019923889655640587      -0.022999999999999996    379.8480921401863
0.02002732921828376       -0.025246921926736998    366.40322693144117
0.020922728776913316      -0.024028243087977585    373.05881739414303
0.021401232818794882      -0.022999999999999996    379.6477412988661
0.02297270991243819       -0.025246921926736998    361.86945742107065
0.02222190101106804       -0.0237490493357978      373.5437898105825
0.0233                    -0.023                   379.45460457704655
0.024633191038846168      -0.023129578883237255    365.2454066500769
0.026000000000000002      -0.025246921926737       348.94266087617547
0.0233                    -0.020900130570405896    379.5145168388053
0.025999999999999995      -0.021949236591657116    360.45735292002564
0.024389464292076113      -0.019597521219267954    372.4381945380703
0.0233                    -0.018887913802741255    379.45831890445044
0.02444029356453361       -0.01772116861642163     372.494172222618
0.0233                    -0.016426663995396232    379.42050411089144
0.025999999999999995      -0.01865155125657732     363.44270576250847
0.025999999999999995      -0.015353865921497529    363.86465246431703
0.0233                    -0.013673448036964991    379.446574993531
0.025999999999999995      -0.012056180586417737    363.9851911214123
0.023300000000000005      -0.010920232078533754    379.54567950123356
0.025999999999999995      -0.00875849525133794     364.13832951222656
0.0233                    -0.008167016120102516    379.7178374673778
0.024586647079501235      -0.003620199921077847    372.4902300475057
0.0233                    -0.002996942397330329    380.2377445155671
0.0233                    -0.005457790065734415    379.95879414037563
0.025999999999999995      -0.005460809916258148    364.36475736349024
0.024341227394654733      -0.001969880570857631    374.0844034541718
0.0233                    -8.520674035097132E-4    380.49294704293703
0.025999999999999995      -0.0021631245811783543   364.6260389472168
0.0015183056622163301     0.023097610688767128     375.0523197993366
0                         0.02421835809946         368.5507275679099
0                         0.022                    381.5019713811596
0.024519489893772433      -2.1706855119191034E-4   373.1598292486869
0.0233                    0.001066113083985092     380.59130721829905
0.025999999999999995      0.0011345607539014393    364.7611432297504
0.002                     0.022                    381.4673115700127
0.00236140009977249       0.024218358099459998     368.5038831318731
0.024250931679048265      0.0016007802699224871    374.7785032106483
0.0233                    0.0029141076797892327    380.50477600533344
0.0244713070710679        0.0034378923100507265    373.37848205673384
0.025999999999999995      0.004432246088981233     364.61812562268443
0.0032280105749350665     0.023057037978778935     375.21479425462115
0.003968469002368879      0.022                    381.35363237476963
0.004985372575953509      0.02421835809946         368.3364166931654
0.0233                    0.004879644700738725     380.27402463434856
0.024401929702270876      0.005644545279699192     373.58004576604213
0.025999999999999995      0.0077299314240610265    364.3516336797175
0.004521810291054634      0.022842105388166185     376.3727560109983
0.006                     0.022                    381.1275750262973
0.007715791983300476      0.02421835809946         368.0648865084917
0.0233                    0.007119202228888121     380.009015368412
0.024633393741560254      0.009342398604269778     371.8980022358054
0.025999999999999995      0.01102761675914082      364.1149134612175
0.008540751065877664      0.022                    380.76994829453815
0.010707386444162302      0.02421835809946         367.75467936599085
0.0233                    0.009737034194970162     379.7569182260134
0.024633393741560254      0.01281800913965844      371.6583527296241
0.025999999999999995      0.014325302094220616     363.91322436202364
0.01160182238618572       0.022                    380.39698340273367
0.013744795969469537      0.02421835809946         367.466759586888
0.02456696870780128       0.011098208414288768     372.1520013921694
0.0233                    0.012489964110174662     379.5621847670314
0.0233                    0.015148954320467327     379.4424321973326
0.025999999999999995      0.017622987429300414     363.4124113391605
0.014499242478348653      0.022                    380.08881965633776
0.016782205494776773      0.024218358099459998     367.1529345346246
0.0245878986821373        0.019093754652882038     370.943284589061
0.025999999999999995      0.020920672764380206     360.3918912049951
0.0233                    0.01757023650594271      379.3911758754876
0.02139954274579114       0.02306818332217653      372.23968809623284
0.02285758162752222       0.02421835809946         362.3069812966278
0.019819615020084006      0.02421835809946         366.4449009389105
0.026000000000000002      0.02421835809946         348.9765259166866
0.0233                    0.022                    379.27163510233567
0.018546095592847096      0.02299752464335978      373.87682201859883
0.016957093054814094      0.022                    379.84235854265853
0.024285930262829145      0.02036734683864236      371.9704561160427
0.0233                    0.01971014533736604      379.3772715729911
0.021037302937424424      0.022                    379.46067547433114
0.01998321414392507       0.022904200411962665     374.0743664786453
0.01908654258802278       0.022                    379.63473304850805
0.0015557972985999107     -0.021401942526202235    382.1896793312685
0.0032721268022092315     -0.021424561891818725    382.14111103010697
0                         -0.020333509950991945    382.2746077623016
0.006568368770941565      -0.021700600131585267    381.7976963220353
0.007398477591812655      -0.020999999999999998    381.70079822358093
